id_vehiculo;codigbus;matricul;fechamat;matriculacion_planner;edad;numempre;nomempre;bastidor;capacidad;paxdepie;paxsentados;paxpmr;plat_pmr;WC;autoport;marca;modelo;carrocero;categoria;clase;longitud;numcv;tara;cilindrada;potencia;nvl_emisiones;escolar;tipo;subtipo;uso;tall_kilom;tal_feckm;totkilom;activo;dns_vehiculo;dispositivo;combustible
1102;30292;8311LMF;2021-01-18;2021-01-18;1;92;Ambulancias Autónomas;WFOEXXTTRELD86405;9;;5;1;;;;FORD;WERKE GMBH;INDUSAUTO;;;;;;;;;;AMBULANCIA TIPO A;TNA A2;BASIC_FLEET;;2021-12-09 00:00:00;48072;1;ambulancias;;
1103;30293;8314LMF;2021-01-18;2021-01-18;1;92;Ambulancias Autónomas;WFOEXXTTREKP58129;9;;1;2;;;;FORD;WERKE GMBH;INDUSAUTO;;;;;;;;;;AMBULANCIA TIPO A;TNA A2;BASIC_FLEET;;2022-05-17 00:00:00;96712;1;ambulancias;;
1104;30294;8317LMF;2021-01-18;2021-01-18;1;92;Ambulancias Autónomas;WFOEXXTTRELD86411;9;;5;1;;;;FORD;WERKE GMBH;INDUSAUTO;;;;;;;;;;AMBULANCIA TIPO A;TNA A1;BASIC_FLEET;;2021-08-04 00:00:00;18492;1;ambulancias;;
1105;30295;8321LMF;2021-01-18;2021-01-18;1;92;Ambulancias Autónomas;WFOEXXTTRELD86413;9;;5;1;;;;FORD;WERKE GMBH;INDUSAUTO;;;;;;;;;;AMBULANCIA TIPO A;TNA A2;BASIC_FLEET;;2021-07-30 00:00:00;31110;1;ambulancias;;
1106;30296;4626LMW;2021-02-26;2021-02-26;1;92;Ambulancias Autónomas;WV1ZZZSYZJ9030420;7;;7;;;;;;;INDUSAUTO;;;;;;;;;;AMBULANCIA TIPO C;SAMU;BASIC_FLEET;;2022-02-15 00:00:00;20219;1;ambulancias;;
1107;60006;6753JNW;2016-05-12;2016-05-12;6;94;AMBULANCIAS Y SERVICIOS VALENCIA;WFOGXXTTGGEG45958;9;;5;1;;;;FORD;TRANSIT FT350 L3;INDUSAUTO;;;;;;;;;;AMBULANCIA TIPO A;TNA A1;BASIC_FLEET;;2022-05-12 00:00:00;292000;1;ambulancias;;
1108;F223;5889LFB;2020-01-27;2020-01-27;2;95;Fernanbus;LA91JSN12KCAYS003;75;48;67;2;;;;;;;;;;;;;;;;URBANO;;USO GENERAL;;2022-03-23 00:00:00;1;1;fernanbus;;
1109;F224;4561KXC;2019-05-21;2019-05-21;3;95;Fernanbus;LC9LC30F9JALA6999;87;62;79;2;;;;;;;;;;;;;;;;URBANO;;USO GENERAL;;2022-04-28 00:00:00;1;1;fernanbus;;
1110;UT18;4373LMP;2021-02-15;2021-02-15;1;97;Urbanos de Torrent;WEB62840510613651;26;58;26;;;;;MERCEDES BENZ;CITARO K HYBRID;;;;;;;;;;;URBANO;;USO GENERAL;;2022-05-19 00:00:00;42000;1;fernanbus;;
1111;B186;4193JVY;2016-12-30;2016-12-30;6;43;Buñol;WDB9066571P339958;20;;4;4;;;;MERCEDES BENZ;SPRINT 616;UNVI;;;;;;;;;;MICROBUS 14-35 PAX;Micro 19 pax;USO GENERAL;;;184121;1;bunyol;480 top;
1112;B185;4184JVY;2016-12-30;2016-12-30;6;43;Buñol;WD9066571P339959;20;;4;4;;;;MERCEDES BENZ;SPRINT 616;UNVI;;;;;;;;;;MICROBUS 14-35 PAX;Micro 19 pax;USO GENERAL;;;170190;1;bunyol;480 top;
1113;574W;7999LJV;2010-10-21;2010-10-21;12;19;Empleadas de Hogar;VF36DRHF8AL024091;5;;5;;;;;PEUGEOT;407 HD;;;;;;;;;;;TURISMO;;;;;0;1;transvia;;
1114;W123;8377LDR;2013-01-30;2013-01-30;9;19;Empleadas de Hogar;JTDZS3EU70J052296;;;;;;;;TOYOTA;PRIUS;;;;;;;;;;;TURISMO;;;;;0;1;transvia;;
1115;574R;2198LMG;2011-03-01;2011-03-01;11;19;Empleadas de Hogar;UUJ9220966487965;5;0;0;0;;;;DACIA;LODGY;;;;;;;;;;;TURISMO;;;;;0;1;transvia;;
1116;THP0324;0928LGC;2020-03-09;2020-03-09;2;67;Therpasa;WMAR10ZZ5KT031402;60;;58;;;;;;;LION S COACH C;;;;;;;;;;NORMAL;59 PAX;USO GENERAL;;2022-02-24 00:00:00;159120;1;therpasa;;
1117;THP0325;5811LGC;2020-03-10;2020-03-10;2;67;Therpasa;LA6A1EAK2KB109152;40;;38;;;;;;;KING LONG;;;;;;;;;;MICROBUS;39 PAX;USO GENERAL;;2022-05-23 00:00:00;104187;1;therpasa;;
1118;573P;5101LKW;2009-05-19;2009-05-19;13;19;Empleadas de Hogar;JTDZS3EU20J062329;5;0;5;0;;;;TOYOTA;PRIUS;;;;;;;;;;;TURISMO;;;;;0;1;transvia;;
1119;573O;9502KRL;2018-11-12;2018-11-12;4;19;Empleadas de Hogar;JTDZS3EU90J034592;7;;7;;;;;TOYOTA;PRIUS;;;;;;;;;;;TURISMO;;DISCRECIONAL;;;0;1;transvia;;
1120;573E;2575JRV;2016-07-27;2016-07-27;6;19;Empleadas de Hogar;KNAHT815AG7149750;5;0;5;0;;;;;;;;;;;;;;;;TURISMO;;;;;0;1;transvia;;
1121;573A;1768LGB;2015-05-07;2015-05-07;7;19;Empleadas de Hogar;JTDKN36U901938482;5;0;5;0;;;;TOYOTA;PRIUS;;;;;;;;;;;TURISMO;;;;;0;1;transvia;;
