nomopera;ndias;v_codigbus;v_edad;ndias_ant;ndias_ant_area;ndias_ant_tipo;capacidad;marca;modelo;potencia;tipo;subtipo
Fuga de aire;2;U208;34;1;1;15;71;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Cambiar/limpiar filtros;2;H110;10;7;15;29;66;SCANIA;HABIT;169;Urbano;Midibus
Baterias;2;H110;10;7;15;1216;66;SCANIA;HABIT;169;Urbano;Midibus
Limpiaparabrisas;2;U317;18;3;3;6576;60;MAN;18.420 HOCL;;NORMAL;
Correas;2;X116;10;10;10;10;23;IVECO;TOURING III;331;Discrecional;Normal
Tensores correas;2;X116;10;10;10;10;23;IVECO;TOURING III;331;Discrecional;Normal
Rotulas direccion;2;B153;16;31;64;5760;19;MERCEDES BENZ;CIDADE I;95;Discrecional;Microbus
Frenos 1º eje;2;B153;16;31;31;336;19;MERCEDES BENZ;CIDADE I;95;Discrecional;Microbus
Discos delanteros;2;B153;16;31;31;5760;19;MERCEDES BENZ;CIDADE I;95;Discrecional;Microbus
Entrada de agua;2;T241;12;1;1;4385;60;SCANIA;K124IB4X2;;NORMAL;59 Plazas
Servo embrague;2;T241;12;1;1;76;60;SCANIA;K124IB4X2;;NORMAL;59 Plazas
Fallo en ECAS;2;B145;8;2;2;1696;55;MAN;CELERIS;257;Discrecional;Normal
Tensores correas;2;B135;11;2;2;4166;55;MAN;DIVO II;338;Discrecional;Normal
Frenos 2º eje;2;I708;7;6;6;189;59;SCANIA;TOURING III;294;Discrecional;Normal
Frenos 2º eje;2;T300;4;3;3;534;55;VOLVO;SC7;315;Discrecional;Normal
Fuga de aire;2;B160;15;31;64;5445;22;IVECO;MAGO 2;164;Discrecional;Microbus
Fuga de aire;5;H111;9;8;8;3487;53;MERCEDES BENZ;TOURISMO RHD;300;Discrecional;Normal
Termostatos;5;H111;9;8;8;3487;53;MERCEDES BENZ;TOURISMO RHD;300;Discrecional;Normal
Cambiar turbina/motor condensadora;2;B129;11;7;7;58;55;MAN;DIVO II;338;Discrecional;Normal
Baterias;2;J268;12;1;79;556;25;MAN;PLATINUM;125;Discrecional;Midibus
Alineado de direccion;1;C087;11;7;31;4068;49;MERCEDES BENZ;DIVO I INTERCITY;220;Discrecional;Normal
